speaker,session,task,pitch_mean,pitch_std,pitch_kurt,pitch_skew,formant_1_mean,formant_1_std,formant_1_kurt,formant_1_skew,formant_2_mean,formant_2_std,formant_2_kurt,formant_2_skew,formant_3_mean,formant_3_std,formant_3_kurt,formant_3_skew
1,1,1,111.6139611,1.405018585,19.22340036,3.369552648,566.3588368,0.589336094,5.459747452,2.312150539,1643.467267,0.269118764,0.489182036,0.474742848,2619.968819,0.178512958,0.55898529,1.070906958
1,1,2,109.2634463,1.432180421,20.42130894,3.375438658,592.0396948,0.596612569,3.475092423,1.931952144,1666.608878,0.291988359,0.460360114,0.509889365,2668.54926,0.197081982,-0.015528062,0.829357581
1,1,3,122.8631624,1.83273289,14.2829174,3.571940544,609.2711173,0.601594141,2.965246053,1.871226854,1644.777034,0.285041404,0.346993962,0.625006144,2661.075822,0.186727275,0.228410121,0.966012899
1,1,4,135.965911,1.712815694,12.19111081,3.20379207,549.981151,0.418972613,9.184672334,2.534222029,1559.80507,0.247601597,0.043866211,0.549122003,2597.205787,0.143864234,3.215268026,1.720529142
1,2,1,138.6772872,2.046921351,13.67547992,3.568684181,627.1637455,0.646535625,2.831622811,1.904654771,1702.769895,0.270076698,0.927647499,0.850225414,2697.109028,0.189816459,-0.202409444,0.761844843
1,2,2,120.494082,1.682690375,16.90813648,3.64117558,626.2300322,0.643955183,2.780686194,1.859743577,1695.18547,0.317149517,0.85099285,0.758619018,2697.851703,0.222217326,-0.183997792,0.801063706
1,2,3,117.8385986,1.937658339,18.65701314,3.963397784,635.2904241,0.649536707,2.28977683,1.747928281,1701.458625,0.298082424,0.130329071,0.511276351,2729.795641,0.198312748,-0.240855009,0.757331467
1,2,4,144.448846,1.85602326,8.535393965,3.003661541,569.6923309,0.554653442,5.238227739,2.013799025,1617.186742,0.259817923,0.149970315,0.642620327,2617.762016,0.191395317,0.494362129,1.172094976
2,1,1,223.2047537,1.202140487,-0.559771554,0.722342477,589.3820893,0.611260517,5.738832201,2.41039797,1743.960786,0.251929163,0.468194932,0.418535095,2724.903952,0.158662527,2.22751797,1.466795031
2,1,2,207.944516,1.001509245,-0.809837556,0.378453949,617.3869985,0.577603578,4.580645648,2.089030251,1786.113866,0.255366303,0.413685266,0.265152447,2778.161786,0.160576471,1.953536899,1.336139372
